id,kind,replacedBy,type,dataType,group,status,uiName,appUiName,description,calculation,minTemplateIndex,maxTemplateIndex,premiumMinTemplateIndex,premiumMaxTemplateIndex,allowedInSegments
ga:userType,analytics#column,,DIMENSION,STRING,User,PUBLIC,User Type,,"A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",,,,,,true
ga:visitorType,analytics#column,ga:userType,DIMENSION,STRING,User,DEPRECATED,User Type,,"A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",,,,,,true
ga:sessionCount,analytics#column,,DIMENSION,STRING,User,PUBLIC,Count of Sessions,,"The session index for a user to your property. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",,,,,,true
ga:visitCount,analytics#column,ga:sessionCount,DIMENSION,STRING,User,DEPRECATED,Count of Sessions,,"The session index for a user to your property. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",,,,,,true
ga:daysSinceLastSession,analytics#column,,DIMENSION,STRING,User,PUBLIC,Days Since Last Session,,The number of days elapsed since users last visited your property. Used to calculate user loyalty.,,,,,,true
ga:daysSinceLastVisit,analytics#column,ga:daysSinceLastSession,DIMENSION,STRING,User,DEPRECATED,Days Since Last Session,,The number of days elapsed since users last visited your property. Used to calculate user loyalty.,,,,,,true
ga:userDefinedValue,analytics#column,,DIMENSION,STRING,User,PUBLIC,User Defined Value,,The value provided when you define custom user segments for your property.,,,,,,true
ga:users,analytics#column,,METRIC,INTEGER,User,PUBLIC,Users,,Total number of users to your property for the requested time period.,,,,,,
ga:visitors,analytics#column,ga:users,METRIC,INTEGER,User,DEPRECATED,Users,,Total number of users to your property for the requested time period.,,,,,,
ga:newUsers,analytics#column,,METRIC,INTEGER,User,PUBLIC,New Users,,The number of users whose session on your property was marked as a first-time session.,,,,,,true
ga:newVisits,analytics#column,ga:newUsers,METRIC,INTEGER,User,DEPRECATED,New Users,,The number of users whose session on your property was marked as a first-time session.,,,,,,true
ga:percentNewSessions,analytics#column,,METRIC,PERCENT,User,PUBLIC,% New Sessions,,The percentage of sessions by people who had never visited your property before.,ga:newUsers / ga:sessions,,,,,
ga:percentNewVisits,analytics#column,ga:percentNewSessions,METRIC,PERCENT,User,DEPRECATED,% New Sessions,,The percentage of sessions by people who had never visited your property before.,ga:newUsers / ga:sessions,,,,,
ga:sessionDurationBucket,analytics#column,,DIMENSION,STRING,Session,PUBLIC,Session Duration,,The length of a session on your property measured in seconds and reported in second increments. The value returned is a string.,,,,,,true
ga:visitLength,analytics#column,ga:sessionDurationBucket,DIMENSION,STRING,Session,DEPRECATED,Session Duration,,The length of a session on your property measured in seconds and reported in second increments. The value returned is a string.,,,,,,true
ga:sessions,analytics#column,,METRIC,INTEGER,Session,PUBLIC,Sessions,,Counts the total number of sessions.,,,,,,true
ga:visits,analytics#column,ga:sessions,METRIC,INTEGER,Session,DEPRECATED,Sessions,,Counts the total number of sessions.,,,,,,true
ga:bounces,analytics#column,,METRIC,INTEGER,Session,PUBLIC,Bounces,,The total number of single page (or single engagement hit) sessions for your property.,,,,,,true
ga:entranceBounceRate,analytics#column,ga:bounceRate,METRIC,PERCENT,Session,DEPRECATED,Bounce Rate,,This dimension is deprecated and will be removed soon. Please use ga:bounceRate instead.,ga:bounces / ga:entrances,,,,,
ga:bounceRate,analytics#column,,METRIC,PERCENT,Session,PUBLIC,Bounce Rate,,"The percentage of single-page session (i.e., session in which the person left your property from the first page).",ga:bounces / ga:sessions,,,,,
ga:visitBounceRate,analytics#column,ga:bounceRate,METRIC,PERCENT,Session,DEPRECATED,Bounce Rate,,"The percentage of single-page session (i.e., session in which the person left your property from the first page).",ga:bounces / ga:sessions,,,,,
ga:sessionDuration,analytics#column,,METRIC,TIME,Session,PUBLIC,Session Duration,,The total duration of user sessions represented in total seconds.,,,,,,true
ga:timeOnSite,analytics#column,ga:sessionDuration,METRIC,TIME,Session,DEPRECATED,Session Duration,,The total duration of user sessions represented in total seconds.,,,,,,true
ga:avgSessionDuration,analytics#column,,METRIC,TIME,Session,PUBLIC,Avg. Session Duration,,The average duration of user sessions represented in total seconds.,ga:sessionDuration / ga:sessions,,,,,
ga:avgTimeOnSite,analytics#column,ga:avgSessionDuration,METRIC,TIME,Session,DEPRECATED,Avg. Session Duration,,The average duration of user sessions represented in total seconds.,ga:sessionDuration / ga:sessions,,,,,
ga:referralPath,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Referral Path,,"The path of the referring URL (e.g. document.referrer). If someone places a link to your property on their website, this element contains the path of the page that contains the referring link.",,,,,,true
ga:fullReferrer,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Full Referrer,,The full referring URL including the hostname and path.,,,,,,
ga:campaign,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Campaign,,"When using manual campaign tracking, the value of the utm_campaign campaign tracking parameter. When using AdWords autotagging, the name(s) of the online ad campaign that you use for your property. Otherwise the value (not set) is used.",,,,,,true
ga:source,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Source,,"The source of referrals to your property. When using manual campaign tracking, the value of the utm_source campaign tracking parameter. When using AdWords autotagging, the value is google. Otherwise the domain of the source referring the user to your property (e.g. document.referrer). The value may also contain a port address. If the user arrived without a referrer, the value is (direct)",,,,,,true
ga:medium,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Medium,,"The type of referrals to your property. When using manual campaign tracking, the value of the utm_medium campaign tracking parameter. When using AdWords autotagging, the value is ppc. If the user comes from a search engine detected by Google Analytics, the value is organic. If the referrer is not a search engine, the value is referral. If the users came directly to the property, and document.referrer is empty, the value is (none).",,,,,,true
ga:sourceMedium,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Source / Medium,,Combined values of ga:source and ga:medium.,,,,,,true
ga:keyword,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Keyword,,"When using manual campaign tracking, the value of the utm_term campaign tracking parameter. When using AdWords autotagging or if a user used organic search to reach your property, the keywords used by users to reach your property. Otherwise the value is (not set).",,,,,,true
ga:adContent,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Ad Content,,"When using manual campaign tracking, the value of the utm_content campaign tracking parameter. When using AdWords autotagging, the first line of the text for your online Ad campaign. If you are using mad libs for your AdWords content, this field displays the keywords you provided for the mad libs keyword match. Otherwise the value is (not set)",,,,,,true
ga:socialNetwork,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Social Network,,"Name of the social network. This can be related to the referring social network for traffic sources, or to the social network for social data hub activities. E.g. Google+, Blogger, etc.",,,,,,
ga:hasSocialSourceReferral,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Social Source Referral,,Indicates sessions that arrived to the property from a social source. The possible values are Yes or No where the first letter is capitalized.,,,,,,
ga:organicSearches,analytics#column,,METRIC,INTEGER,Traffic Sources,PUBLIC,Organic Searches,,The number of organic searches that happened within a session. This metric is search engine agnostic.,,,,,,
ga:adGroup,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Ad Group,,The name of your AdWords ad group.,,,,,,true
ga:adSlot,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Ad Slot,,"The location of the advertisement on the hosting page (Top, RHS, or not set).",,,,,,true
ga:adSlotPosition,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Ad Slot Position,,The ad slot positions in which your AdWords ads appeared (1-8).,,,,,,true
ga:adDistributionNetwork,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Ad Distribution Network,,"The networks used to deliver your ads (Content, Search, Search partners, etc.).",,,,,,
ga:adMatchType,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Query Match Type,,"The match types applied for the search term the user had input(Phrase, Exact, Broad, etc.). Ads on the content network are identified as ""Content network"". Details: https://support.google.com/adwords/answer/2472708?hl=en",,,,,,
ga:adKeywordMatchType,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Keyword Match Type,,"The match types applied to your keywords (Phrase, Exact, Broad). Details: https://support.google.com/adwords/answer/2472708?hl=en",,,,,,
ga:adMatchedQuery,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Matched Search Query,,The search queries that triggered impressions of your AdWords ads.,,,,,,
ga:adPlacementDomain,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Placement Domain,,The domains where your ads on the content network were placed.,,,,,,
ga:adPlacementUrl,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Placement URL,,The URLs where your ads on the content network were placed.,,,,,,
ga:adFormat,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Ad Format,,"Your AdWords ad formats (Text, Image, Flash, Video, etc.).",,,,,,
ga:adTargetingType,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Targeting Type,,"How your AdWords ads were targeted (keyword, placement, and vertical targeting, etc.).",,,,,,
ga:adTargetingOption,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Placement Type,,How you manage your ads on the content network. Values are Automatic placements or Managed placements.,,,,,,
ga:adDisplayUrl,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Display URL,,The URLs your AdWords ads displayed.,,,,,,
ga:adDestinationUrl,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,Destination URL,,The URLs to which your AdWords ads referred traffic.,,,,,,
ga:adwordsCustomerID,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,AdWords Customer ID,,A string. Corresponds to AdWords API AccountInfo.customerId.,,,,,,
ga:adwordsCampaignID,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,AdWords Campaign ID,,A string. Corresponds to AdWords API Campaign.id.,,,,,,
ga:adwordsAdGroupID,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,AdWords Ad Group ID,,A string. Corresponds to AdWords API AdGroup.id.,,,,,,
ga:adwordsCreativeID,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,AdWords Creative ID,,A string. Corresponds to AdWords API Ad.id.,,,,,,
ga:adwordsCriteriaID,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,AdWords Criteria ID,,A string. Corresponds to AdWords API Criterion.id.,,,,,,
ga:impressions,analytics#column,,METRIC,INTEGER,Adwords,PUBLIC,Impressions,,Total number of campaign impressions.,,,,,,
ga:adClicks,analytics#column,,METRIC,INTEGER,Adwords,PUBLIC,Clicks,,The total number of times users have clicked on an ad to reach your property.,,,,,,
ga:adCost,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,Cost,,Derived cost for the advertising campaign. The currency for this value is based on the currency that you set in your AdWords account.,,,,,,
ga:CPM,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,CPM,,Cost per thousand impressions.,ga:adCost / (ga:impressions / 1000),,,,,
ga:CPC,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,CPC,,Cost to advertiser per click.,ga:adCost / ga:adClicks,,,,,
ga:CTR,analytics#column,,METRIC,PERCENT,Adwords,PUBLIC,CTR,,Click-through-rate for your ad. This is equal to the number of clicks divided by the number of impressions for your ad (e.g. how many times users clicked on one of your ads where that ad appeared).,ga:adClicks / ga:impressions,,,,,
ga:costPerTransaction,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,Cost per Transaction,,The cost per transaction for your property.,(ga:adCost) / (ga:transactions),,,,,
ga:costPerGoalConversion,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,Cost per Goal Conversion,,The cost per goal conversion for your property.,(ga:adCost) / (ga:goalCompletionsAll),,,,,
ga:costPerConversion,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,Cost per Conversion,,The cost per conversion (including ecommerce and goal conversions) for your property.,(ga:adCost) / (ga:transactions  +  ga:goalCompletionsAll),,,,,
ga:RPC,analytics#column,,METRIC,CURRENCY,Adwords,PUBLIC,RPC,,RPC or revenue-per-click is the average revenue (from ecommerce sales and/or goal value) you received for each click on one of your search ads.,(ga:transactionRevenue + ga:goalValueAll) / ga:adClicks,,,,,
ga:ROI,analytics#column,,METRIC,PERCENT,Adwords,PUBLIC,ROI,,Returns on Investment is overall transaction profit divided by derived advertising cost.,(ga:transactionRevenue + ga:goalValueAll - ga:adCost) / ga:adCost,,,,,
ga:margin,analytics#column,,METRIC,PERCENT,Adwords,PUBLIC,Margin,,The overall transaction profit margin.,(ga:transactionRevenue + ga:goalValueAll - ga:adCost) / (ga:transactionRevenue + ga:goalValueAll),,,,,
ga:goalCompletionLocation,analytics#column,,DIMENSION,STRING,Goal Conversions,PUBLIC,Goal Completion Location,,The page path or screen name that matched any destination type goal completion.,,,,,,
ga:goalPreviousStep1,analytics#column,,DIMENSION,STRING,Goal Conversions,PUBLIC,Goal Previous Step - 1,,"The page path or screen name that matched any destination type goal, one step prior to the goal completion location.",,,,,,
ga:goalPreviousStep2,analytics#column,,DIMENSION,STRING,Goal Conversions,PUBLIC,Goal Previous Step - 2,,"The page path or screen name that matched any destination type goal, two steps prior to the goal completion location.",,,,,,
ga:goalPreviousStep3,analytics#column,,DIMENSION,STRING,Goal Conversions,PUBLIC,Goal Previous Step - 3,,"The page path or screen name that matched any destination type goal, three steps prior to the goal completion location.",,,,,,
ga:goalXXStarts,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Goal XX Starts,,The total number of starts for the requested goal number.,,1,20,,,true
ga:goalStartsAll,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Goal Starts,,The total number of starts for all goals defined for your profile.,,,,,,true
ga:goalXXCompletions,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Goal XX Completions,,The total number of completions for the requested goal number.,,1,20,,,true
ga:goalCompletionsAll,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Goal Completions,,The total number of completions for all goals defined for your profile.,,,,,,true
ga:goalXXValue,analytics#column,,METRIC,CURRENCY,Goal Conversions,PUBLIC,Goal XX Value,,The total numeric value for the requested goal number.,,1,20,,,true
ga:goalValueAll,analytics#column,,METRIC,CURRENCY,Goal Conversions,PUBLIC,Goal Value,,The total numeric value for all goals defined for your profile.,,,,,,true
ga:goalValuePerSession,analytics#column,,METRIC,CURRENCY,Goal Conversions,PUBLIC,Per Session Goal Value,,The average goal value of a session on your property.,ga:goalValueAll / ga:sessions,,,,,
ga:goalValuePerVisit,analytics#column,ga:goalValuePerSession,METRIC,CURRENCY,Goal Conversions,DEPRECATED,Per Session Goal Value,,The average goal value of a session on your property.,ga:goalValueAll / ga:sessions,,,,,
ga:goalXXConversionRate,analytics#column,,METRIC,PERCENT,Goal Conversions,PUBLIC,Goal XX Conversion Rate,,The percentage of sessions which resulted in a conversion to the requested goal number.,ga:goalXXCompletions / ga:sessions,1,20,,,
ga:goalConversionRateAll,analytics#column,,METRIC,PERCENT,Goal Conversions,PUBLIC,Goal Conversion Rate,,The percentage of sessions which resulted in a conversion to at least one of your goals.,ga:goalCompletionsAll / ga:sessions,,,,,
ga:goalXXAbandons,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Goal XX Abandoned Funnels,,The number of times users started conversion activity on the requested goal number without actually completing it.,(ga:goalXXStarts - ga:goalXXCompletions),1,20,,,
ga:goalAbandonsAll,analytics#column,,METRIC,INTEGER,Goal Conversions,PUBLIC,Abandoned Funnels,,The overall number of times users started goals without actually completing them.,(ga:goalStartsAll - ga:goalCompletionsAll),,,,,
ga:goalXXAbandonRate,analytics#column,,METRIC,PERCENT,Goal Conversions,PUBLIC,Goal XX Abandonment Rate,,The rate at which the requested goal number was abandoned.,((ga:goalXXStarts - ga:goalXXCompletions)) / (ga:goalXXStarts),1,20,,,
ga:goalAbandonRateAll,analytics#column,,METRIC,PERCENT,Goal Conversions,PUBLIC,Total Abandonment Rate,,The rate at which goals were abandoned.,((ga:goalStartsAll - ga:goalCompletionsAll)) / (ga:goalStartsAll),,,,,
ga:browser,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Browser,,"The names of browsers used by users to your website. For example, Internet Explorer or Firefox.",,,,,,true
ga:browserVersion,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Browser Version,,"The browser versions used by users to your website. For example, 2.0.0.14",,,,,,true
ga:operatingSystem,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Operating System,,"The operating system used by your users. For example, Windows, Linux , Macintosh, iPhone, iPod.",,,,,,true
ga:operatingSystemVersion,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Operating System Version,,"The version of the operating system used by your users, such as XP for Windows or PPC for Macintosh.",,,,,,true
ga:isMobile,analytics#column,,DIMENSION,STRING,Platform or Device,DEPRECATED,Mobile (Including Tablet),,"This dimension is deprecated and will be removed soon. Please use ga:deviceCategory instead (e.g., ga:deviceCategory==mobile).",,,,,,true
ga:isTablet,analytics#column,,DIMENSION,STRING,Platform or Device,DEPRECATED,Tablet,,"This dimension is deprecated and will be removed soon. Please use ga:deviceCategory instead (e.g., ga:deviceCategory==tablet).",,,,,,true
ga:mobileDeviceBranding,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Mobile Device Branding,,Mobile manufacturer or branded name.,,,,,,true
ga:mobileDeviceModel,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Mobile Device Model,,Mobile device model,,,,,,true
ga:mobileInputSelector,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Mobile Input Selector,,"Selector used on the mobile device (e.g.: touchscreen, joystick, clickwheel, stylus).",,,,,,true
ga:mobileDeviceInfo,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Mobile Device Info,,"The branding, model, and marketing name used to identify the mobile device.",,,,,,true
ga:mobileDeviceMarketingName,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Mobile Device Marketing Name,,The marketing name used for the mobile device.,,,,,,true
ga:deviceCategory,analytics#column,,DIMENSION,STRING,Platform or Device,PUBLIC,Device Category,,"The type of device: desktop, tablet, or mobile.",,,,,,true
ga:continent,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Continent,,"The continents of property users, derived from IP addresses.",,,,,,true
ga:subContinent,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Sub Continent Region,,"The sub-continent of users, derived from IP addresses. For example, Polynesia or Northern Europe.",,,,,,true
ga:country,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Country / Territory,,"The country of users, derived from IP addresses.",,,,,,true
ga:region,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Region,,"The region of users to your property, derived from IP addresses. In the U.S., a region is a state, such as New York.",,,,,,true
ga:metro,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Metro,,The Designated Market Area (DMA) from where traffic arrived on your property.,,,,,,true
ga:city,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,City,,"The cities of property users, derived from IP addresses.",,,,,,true
ga:latitude,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Latitude,,The approximate latitude of the user's city. Derived from IP address. Locations north of the equator are represented by positive values and locations south of the equator by negative values.,,,,,,
ga:longitude,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Longitude,,The approximate longitude of the user's city. Derived from IP address. Locations east of the meridian are represented by positive values and locations west of the meridian by negative values.,,,,,,
ga:networkDomain,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Network Domain,,The domain name of the ISPs used by users to your property. This is derived from the domain name registered to the IP address.,,,,,,true
ga:networkLocation,analytics#column,,DIMENSION,STRING,Geo Network,PUBLIC,Service Provider,,"The name of service providers used to reach your property. For example, if most users to your website come via the major service providers for cable internet, you will see the names of those cable service providers in this element.",,,,,,true
ga:flashVersion,analytics#column,,DIMENSION,STRING,System,PUBLIC,Flash Version,,"The versions of Flash supported by users' browsers, including minor versions.",,,,,,true
ga:javaEnabled,analytics#column,,DIMENSION,STRING,System,PUBLIC,Java Support,,Indicates Java support for users' browsers. The possible values are Yes or No where the first letter must be capitalized.,,,,,,true
ga:language,analytics#column,,DIMENSION,STRING,System,PUBLIC,Language,,The language provided by the HTTP Request for the browser. Values are given as an ISO-639 code (e.g. en-gb for British English).,,,,,,true
ga:screenColors,analytics#column,,DIMENSION,STRING,System,PUBLIC,Screen Colors,,"The color depth of users' monitors, as retrieved from the DOM of the user's browser. For example 4-bit, 8-bit, 24-bit, or undefined-bit.",,,,,,true
ga:sourcePropertyDisplayName,analytics#column,,DIMENSION,STRING,System,PUBLIC,Source Property Display Name,,Source property display name of roll-up properties. This is valid only for roll-up properties.,,,,,,true
ga:sourcePropertyTrackingId,analytics#column,,DIMENSION,STRING,System,PUBLIC,Source Property Tracking ID,,Source property tracking ID of roll-up properties. This is valid only for roll-up properties.,,,,,,true
ga:screenResolution,analytics#column,,DIMENSION,STRING,System,PUBLIC,Screen Resolution,,The screen resolution of users' screens. For example: 1024x738.,,,,,,true
ga:socialActivityEndorsingUrl,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Endorsing URL,,"For a social data hub activity, this value represents the URL of the social activity (e.g. the Google+ post URL, the blog comment URL, etc.)",,,,,,
ga:socialActivityDisplayName,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Display Name,,"For a social data hub activity, this value represents the title of the social activity posted by the social network user.",,,,,,
ga:socialActivityPost,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Social Activity Post,,"For a social data hub activity, this value represents the content of the social activity posted by the social network user (e.g. The message content of a Google+ post)",,,,,,
ga:socialActivityTimestamp,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Social Activity Timestamp,,"For a social data hub activity, this value represents when the social activity occurred on the social network.",,,,,,
ga:socialActivityUserHandle,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Social User Handle,,"For a social data hub activity, this value represents the social network handle (e.g. name or ID) of the user who initiated the social activity.",,,,,,
ga:socialActivityUserPhotoUrl,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,User Photo URL,,"For a social data hub activity, this value represents the URL of the photo associated with the user's social network profile.",,,,,,
ga:socialActivityUserProfileUrl,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,User Profile URL,,"For a social data hub activity, this value represents the URL of the associated user's social network profile.",,,,,,
ga:socialActivityContentUrl,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Shared URL,,"For a social data hub activity, this value represents the URL shared by the associated social network user.",,,,,,
ga:socialActivityTagsSummary,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Social Tags Summary,,"For a social data hub activity, this is a comma-separated set of tags associated with the social activity.",,,,,,
ga:socialActivityAction,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Originating Social Action,,"For a social data hub activity, this value represents the type of social action associated with the activity (e.g. vote, comment, +1, etc.).",,,,,,
ga:socialActivityNetworkAction,analytics#column,,DIMENSION,STRING,Social Activities,PUBLIC,Social Network and Action,,"For a social data hub activity, this value represents the type of social action and the social network where the activity originated.",,,,,,
ga:socialActivities,analytics#column,,METRIC,INTEGER,Social Activities,PUBLIC,Data Hub Activities,,The count of activities where a content URL was shared / mentioned on a social data hub partner network.,,,,,,
ga:hostname,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Hostname,,The hostname from which the tracking request was made.,,,,,,true
ga:pagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page,,A page on your website specified by path and/or query parameters. Use in conjunction with hostname to get the full URL of the page.,,,,,,true
ga:pagePathLevel1,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page path level 1,,This dimension rolls up all the page paths in the first hierarchical level in pagePath.,,,,,,
ga:pagePathLevel2,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page path level 2,,This dimension rolls up all the page paths in the second hierarchical level in pagePath.,,,,,,
ga:pagePathLevel3,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page path level 3,,This dimension rolls up all the page paths in the third hierarchical level in pagePath.,,,,,,
ga:pagePathLevel4,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page path level 4,,This dimension rolls up all the page paths into hierarchical levels. Up to 4 pagePath levels maybe specified. All additional levels in the pagePath hierarchy are also rolled up in this dimension.,,,,,,
ga:pageTitle,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page Title,,The title of a page. Keep in mind that multiple pages might have the same page title.,,,,,,true
ga:landingPagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Landing Page,,"The first page in a user's session, or landing page.",,,,,,true
ga:secondPagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Second Page,,The second page in a user's session.,,,,,,
ga:exitPagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Exit Page,,"The last page in a user's session, or exit page.",,,,,,true
ga:previousPagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Previous Page Path,,A page on your property that was visited before another page on the same property. Typically used with the pagePath dimension.,,,,,,
ga:nextPagePath,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Next Page Path,,A page on your website that was visited after another page on your website. Typically used with the previousPagePath dimension.,,,,,,
ga:pageDepth,analytics#column,,DIMENSION,STRING,Page Tracking,PUBLIC,Page Depth,,"The number of pages visited by users during a session. The value is a histogram that counts pageviews across a range of possible values. In this calculation, all sessions will have at least one pageview, and some percentage of sessions will have more.",,,,,,true
ga:pageValue,analytics#column,,METRIC,CURRENCY,Page Tracking,PUBLIC,Page Value,,The average value of this page or set of pages. Page Value is (ga:transactionRevenue + ga:goalValueAll) / ga:uniquePageviews (for the page or set of pages).,,,,,,
ga:entrances,analytics#column,,METRIC,INTEGER,Page Tracking,PUBLIC,Entrances,,The number of entrances to your property measured as the first pageview in a session. Typically used with landingPagePath,,,,,,true
ga:entranceRate,analytics#column,,METRIC,PERCENT,Page Tracking,PUBLIC,Entrances / Pageviews,,The percentage of pageviews in which this page was the entrance.,ga:entrances / ga:pageviews,,,,,
ga:pageviews,analytics#column,,METRIC,INTEGER,Page Tracking,PUBLIC,Pageviews,,The total number of pageviews for your property.,,,,,,true
ga:pageviewsPerSession,analytics#column,,METRIC,FLOAT,Page Tracking,PUBLIC,Pages / Session,,The average number of pages viewed during a session on your property. Repeated views of a single page are counted.,ga:pageviews / ga:sessions,,,,,
ga:pageviewsPerVisit,analytics#column,ga:pageviewsPerSession,METRIC,FLOAT,Page Tracking,DEPRECATED,Pages / Session,,The average number of pages viewed during a session on your property. Repeated views of a single page are counted.,ga:pageviews / ga:sessions,,,,,
ga:contentGroupUniqueViewsXX,analytics#column,,METRIC,INTEGER,Content Grouping,PUBLIC,Unique Views,,The number of different (unique) pages within a session for the specified content group. This takes into account both the pagePath and pageTitle to determine uniqueness.,,1,5,,,
ga:uniquePageviews,analytics#column,,METRIC,INTEGER,Page Tracking,PUBLIC,Unique Pageviews,,The number of different (unique) pages within a session. This takes into account both the pagePath and pageTitle to determine uniqueness.,,,,,,true
ga:timeOnPage,analytics#column,,METRIC,TIME,Page Tracking,PUBLIC,Time on Page,,"How long a user spent on a particular page in seconds. Calculated by subtracting the initial view time for a particular page from the initial view time for a subsequent page. Thus, this metric does not apply to exit pages for your property.",,,,,,true
ga:avgTimeOnPage,analytics#column,,METRIC,TIME,Page Tracking,PUBLIC,Avg. Time on Page,,The average amount of time users spent viewing this page or a set of pages.,ga:timeOnPage / (ga:pageviews - ga:exits),,,,,
ga:exits,analytics#column,,METRIC,INTEGER,Page Tracking,PUBLIC,Exits,,The number of exits from your property.,,,,,,true
